lat,lon,country,county,local_administrative_area,locality,postcode,state,state_code,village,timestamp_apicall
46.650143,10.2301992,Switzerland,Region Engiadina Bassa/Val Müstair,Zernez,Stabelchod,7530,Grisons,GR,Zernez,2024-09-24 23:02:11
47.4309774,9.62017,Switzerland,Wahlkreis Rheintal,Berneck,Eichholz,9442,St. Gallen,N/A,Berneck,2024-09-24 23:02:11
47.351168,8.4897796,Switzerland,District Zurich,Zurich,N/A,8063,Zurich,ZH,N/A,2024-09-24 23:02:11
47.3291235,8.5007261,Switzerland,Bezirk Affoltern,Stallikon,N/A,8143,Zurich,ZH,Stallikon,2024-09-24 23:02:11
47.3152439,8.5050559,Switzerland,Bezirk Affoltern,Stallikon,N/A,8143,Zurich,ZH,Stallikon,2024-09-24 23:02:11
47.3164826,8.5186003,Switzerland,Bezirk Horgen,Adliswil,N/A,8134,Zurich,ZH,N/A,2024-09-24 23:02:11
46.6864945,8.5941959,Switzerland,N/A,Wassen,N/A,6484,Uri,UR,Wassen,2024-09-24 23:02:11
46.758293,8.6574212,Switzerland,N/A,Silenen,N/A,6476,Uri,UR,Amsteg,2024-09-24 23:02:11
47.5352432,8.0967558,Switzerland,Bezirk Laufenburg,Laufenburg,N/A,5085,Aargau,AG,Sulz,2024-09-24 23:02:11
46.8255681,6.5042809,Switzerland,District du Jura-Nord vaudois,Sainte-Croix,N/A,1450,Vaud,VD,Sainte-Croix,2024-09-24 23:02:11
46.83268,6.5145084,Switzerland,District du Jura-Nord vaudois,Sainte-Croix,N/A,1450,Vaud,VD,Sainte-Croix,2024-09-24 23:02:11
46.8356755,6.522718,Switzerland,District du Jura-Nord vaudois,Sainte-Croix,N/A,1450,Vaud,VD,Sainte-Croix,2024-09-24 23:02:11
46.8435439,6.5313614,Switzerland,District du Jura-Nord vaudois,Bullet,N/A,1452,Vaud,VD,Les Rasses,2024-09-24 23:02:11
46.8556668,6.5501737,Switzerland,District du Jura-Nord vaudois,Fiez,N/A,1453,Vaud,VD,Fiez,2024-09-24 23:02:11
46.8634566,6.5658229,Switzerland,District du Jura-Nord vaudois,Bullet,N/A,1453,Vaud,VD,Bullet,2024-09-24 23:02:11
46.8609414,6.6144089,Switzerland,District du Jura-Nord vaudois,Mauborget,N/A,1453,Vaud,VD,Mauborget,2024-09-24 23:02:11
46.8964957,6.6098089,Switzerland,N/A,Val-de-Travers,N/A,2112,Neuchâtel,NE,Môtiers NE,2024-09-24 23:02:11
47.3265932,9.0257357,Switzerland,Wahlkreis Toggenburg,Mosnang,N/A,9614,St. Gallen,N/A,Libingen,2024-09-24 23:02:11
47.3204765,9.032205,Switzerland,Wahlkreis Toggenburg,Mosnang,N/A,9614,St. Gallen,N/A,Libingen,2024-09-24 23:02:11
47.3139131,9.0340285,Switzerland,Wahlkreis Toggenburg,Mosnang,N/A,9622,St. Gallen,N/A,Mosnang,2024-09-24 23:02:11
47.3096563,9.0309978,Switzerland,Wahlkreis Toggenburg,Mosnang,N/A,9614,St. Gallen,N/A,Mosnang,2024-09-24 23:02:11
47.3005555,9.0197317,Switzerland,Wahlkreis See-Gaster,Eschenbach (SG),N/A,8733,St. Gallen,N/A,N/A,2024-09-24 23:02:11
47.2960901,9.0220985,Switzerland,Wahlkreis Toggenburg,Wattwil,N/A,8375,St. Gallen,N/A,Wattwil,2024-09-24 23:02:11
47.2915794,9.0283607,Switzerland,Wahlkreis Toggenburg,Wattwil,N/A,8375,St. Gallen,N/A,Wattwil,2024-09-24 23:02:11
47.2808333,9.0325995,Switzerland,Wahlkreis See-Gaster,Eschenbach (SG),N/A,8733,St. Gallen,N/A,Walde SG,2024-09-24 23:02:11
47.2717847,9.0363372,Switzerland,Wahlkreis See-Gaster,Eschenbach (SG),N/A,8733,St. Gallen,N/A,N/A,2024-09-24 23:02:11
47.2671226,9.040902,Switzerland,Wahlkreis See-Gaster,Gommiswald,N/A,8726,St. Gallen,N/A,Ricken SG,2024-09-24 23:02:11
47.3028875,8.5080851,Switzerland,Bezirk Affoltern,Stallikon,N/A,8143,Zurich,ZH,Stallikon,2024-09-24 23:02:11
47.2857101,8.5134809,Switzerland,Bezirk Horgen,Langnau am Albis,N/A,8135,Zurich,ZH,Langnau am Albis,2024-09-24 23:02:11
47.2712226,8.5262202,Switzerland,Bezirk Horgen,Langnau am Albis,N/A,8135,Zurich,ZH,Langnau am Albis,2024-09-24 23:02:11
47.2635986,8.5335671,Switzerland,Bezirk Affoltern,Hausen am Albis,N/A,8915,Zurich,ZH,Hausen am Albis,2024-09-24 23:02:11
47.2647956,8.555493,Switzerland,Bezirk Horgen,Horgen,N/A,8810,Zurich,ZH,N/A,2024-09-24 23:02:11
47.5490567,8.1111345,Switzerland,Bezirk Laufenburg,Gansingen,N/A,5272,Aargau,AG,Gansingen,2024-09-24 23:02:11
47.362355,8.4906313,Switzerland,District Zurich,Zurich,N/A,8063,Zurich,ZH,N/A,2024-09-24 23:02:11
47.3552026,8.4892329,Switzerland,District Zurich,Zurich,N/A,8063,Zurich,ZH,N/A,2024-09-24 23:02:11
47.3489275,8.4994754,Switzerland,District Zurich,Zurich,N/A,8063,Zurich,ZH,N/A,2024-09-24 23:02:11
47.2887772,8.8581679,Switzerland,Bezirk Hinwil,Hinwil,N/A,8340,Zurich,ZH,Hadlikon,2024-09-24 23:02:11
47.295046,8.850249,Switzerland,Bezirk Hinwil,Hinwil,N/A,8340,Zurich,ZH,Hadlikon,2024-09-24 23:02:11
47.285254,8.8695647,Switzerland,Bezirk Hinwil,Dürnten,N/A,8635,Zurich,ZH,Breitenmatt,2024-09-24 23:02:11
47.2831134,8.8494622,Switzerland,Bezirk Hinwil,Dürnten,N/A,8635,Zurich,ZH,Oberdürnten,2024-09-24 23:02:11
47.2750342,8.8356737,Switzerland,Bezirk Hinwil,Dürnten,N/A,8632,Zurich,ZH,Tann,2024-09-24 23:02:11
47.2776044,8.8789713,Switzerland,Bezirk Hinwil,Dürnten,N/A,8635,Zurich,ZH,Breitenmatt,2024-09-24 23:02:11
47.2819308,8.8686143,Switzerland,Bezirk Hinwil,Dürnten,N/A,8635,Zurich,ZH,Breitenmatt,2024-09-24 23:02:11
47.278424,8.8240752,Switzerland,Bezirk Hinwil,Bubikon,N/A,8608,Zurich,ZH,Bubikon,2024-09-24 23:02:11
47.2686736,8.8243599,Switzerland,Bezirk Hinwil,Bubikon,N/A,8608,Zurich,ZH,Bubikon,2024-09-24 23:02:11
47.2691917,8.8436149,Switzerland,Bezirk Hinwil,Dürnten,N/A,8632,Zurich,ZH,Tann,2024-09-24 23:02:11
47.268496,8.8307534,Switzerland,Bezirk Hinwil,Dürnten,N/A,8608,Zurich,ZH,Dürnten,2024-09-24 23:02:11
47.2646347,8.8295722,Switzerland,Bezirk Hinwil,Bubikon,N/A,8608,Zurich,ZH,Bubikon,2024-09-24 23:02:11
47.2616268,8.843317,Switzerland,Bezirk Hinwil,Rüti (ZH),N/A,8630,Zurich,ZH,N/A,2024-09-24 23:02:11
47.2928383,8.8341464,Switzerland,Bezirk Hinwil,Hinwil,N/A,8349,Zurich,ZH,Hinwil,2024-09-24 23:02:11
47.2889124,8.8389398,Switzerland,Bezirk Hinwil,Hinwil,N/A,8340,Zurich,ZH,Hadlikon,2024-09-24 23:02:11
47.2793684,8.8162043,Switzerland,Bezirk Hinwil,Bubikon,N/A,8608,Zurich,ZH,Bubikon,2024-09-24 23:02:11
47.273926,8.8957778,Switzerland,Bezirk Hinwil,Wald (ZH),N/A,8663,Zurich,ZH,Wald (ZH),2024-09-24 23:02:11
47.2715449,8.864675,Switzerland,Bezirk Hinwil,Dürnten,N/A,8635,Zurich,ZH,Oberdürnten,2024-09-24 23:02:11
47.2672644,8.8559288,Switzerland,Bezirk Hinwil,Dürnten,N/A,8632,Zurich,ZH,Tann,2024-09-24 23:02:11
47.2637302,8.8556643,Switzerland,Bezirk Hinwil,Rüti (ZH),Joweid Zentrum,8630,Zurich,ZH,N/A,2024-09-24 23:02:11
47.2678451,8.8666451,Switzerland,Bezirk Hinwil,Rüti (ZH),N/A,8630,Zurich,ZH,N/A,2024-09-24 23:02:11
47.2698096,8.8204598,Switzerland,Bezirk Hinwil,Bubikon,N/A,8608,Zurich,ZH,Wolfhausen,2024-09-24 23:02:11
47.2540752,8.819909,Switzerland,Bezirk Hinwil,Bubikon,N/A,8608,Zurich,ZH,Wolfhausen,2024-09-24 23:02:11
47.270668,8.8120444,Switzerland,Bezirk Hinwil,Bubikon,N/A,8608,Zurich,ZH,Bubikon,2024-09-24 23:02:11
47.2729998,8.8442826,Switzerland,Bezirk Hinwil,Dürnten,N/A,8632,Zurich,ZH,Tann,2024-09-24 23:02:11
47.2642278,8.8520052,Switzerland,Bezirk Hinwil,Dürnten,N/A,8632,Zurich,ZH,Tann,2024-09-24 23:02:11
