lat,lon,country,county,local_administrative_area,locality,postcode,state,state_code,village
47.1666601,8.8689490,Switzerland,March,Galgenen,N/A,8854,Schwyz,SZ,Galgenen
47.1623169,8.8573751,Switzerland,March,Galgenen,N/A,8854,Schwyz,SZ,Galgenen
47.1636740,8.8709971,Switzerland,March,Galgenen,N/A,8854,Schwyz,SZ,Galgenen
47.1666601,8.8689490,Switzerland,March,Galgenen,N/A,8854,Schwyz,SZ,Galgenen
46.9575113,8.5828397,Switzerland,N/A,Seelisberg,N/A,6377,Uri,UR,Seelisberg
46.9652304,8.5154361,Switzerland,N/A,Beckenried,N/A,6375,Nidwalden,NW,Beckenried
46.9676691,8.5852038,Switzerland,N/A,Seelisberg,N/A,6377,Uri,UR,Seelisberg
46.9697441,8.5860820,Switzerland,N/A,Seelisberg,N/A,6377,Uri,UR,Seelisberg
46.9606112,8.5838634,Switzerland,N/A,Seelisberg,N/A,6377,Uri,UR,Seelisberg
46.9454565,8.5796170,Switzerland,N/A,Seelisberg,N/A,6377,Uri,UR,Seelisberg
46.9675025,8.5288491,Switzerland,N/A,Emmetten,N/A,6466,Nidwalden,NW,Emmetten
46.9629586,8.4919439,Switzerland,N/A,Beckenried,N/A,6375,Nidwalden,NW,Beckenried
46.9708565,8.5462124,Switzerland,N/A,Emmetten,N/A,6376,Nidwalden,NW,Emmetten
46.9754637,8.5732609,Switzerland,N/A,Seelisberg,N/A,6377,Uri,UR,Seelisberg
46.9733353,8.5864554,Switzerland,N/A,Seelisberg,N/A,6377,Uri,UR,Seelisberg
46.9641436,8.5868162,Switzerland,N/A,Seelisberg,N/A,6377,Uri,UR,Seelisberg
47.3819468,8.0575535,Switzerland,Bezirk Aarau,Aarau,N/A,5000,Aargau,AG,N/A
47.1518943,8.8600303,Switzerland,March,Galgenen,N/A,8854,Schwyz,SZ,Galgenen
47.1881028,8.5281562,Switzerland,N/A,Baar,N/A,6340,Zug,ZG,Inwil
47.1970438,8.5303080,Switzerland,N/A,Baar,N/A,6340,Zug,ZG,N/A
47.2045033,8.5392469,Switzerland,N/A,Baar,N/A,5340,Zug,ZG,N/A
47.1771218,8.5281699,Switzerland,N/A,Baar,N/A,6341,Zug,ZG,Arbach
47.1726252,8.5197036,Switzerland,N/A,Zug,N/A,6302,Zug,ZG,N/A
47.2118123,8.5576738,Switzerland,N/A,Baar,N/A,6340,Zug,ZG,N/A
47.2097847,8.5495677,Switzerland,N/A,Baar,N/A,8925,Zug,ZG,N/A
47.2125682,8.5661145,Switzerland,N/A,Baar,N/A,6345,Zug,ZG,N/A
47.2152527,8.5730215,Switzerland,N/A,Baar,N/A,6340,Zug,ZG,N/A
47.2089336,8.5604495,Switzerland,N/A,Baar,N/A,6345,Zug,ZG,N/A
47.2008981,8.5367023,Switzerland,N/A,Baar,N/A,5340,Zug,ZG,N/A
47.4578037,8.5348967,Switzerland,Bezirk Dielsdorf,Rümlang,N/A,8153,Zurich,ZH,Rümlang
47.5422169,8.0555410,Switzerland,Bezirk Laufenburg,Kaisten,N/A,5082,Aargau,AG,Kaisten
47.0207664,7.6651259,Switzerland,Emmental administrative district,Rüegsau,N/A,3417,Bern,BE,Rüegsauschachen
47.4981977,8.1465632,Switzerland,Bezirk Brugg,Bözberg,N/A,5225,Aargau,AG,Oberbözberg
47.1566050,8.8308715,Switzerland,March,Altendorf,N/A,8852,Schwyz,SZ,Altendorf
47.1520864,8.8399721,Switzerland,March,Altendorf,N/A,8852,Schwyz,SZ,Altendorf
47.1493969,8.8311507,Switzerland,March,Altendorf,N/A,8852,Schwyz,SZ,Altendorf
47.1583099,8.8358887,Switzerland,March,Altendorf,N/A,8852,Schwyz,SZ,Altendorf
47.4081577,8.6667930,Switzerland,Bezirk Uster,Wangen-Brüttisellen,N/A,8604,Zurich,ZH,Wangen-Brüttisellen
46.9972872,6.8942605,Switzerland,N/A,Neuchâtel,N/A,2034,Neuchâtel,NE,Peseux
47.0100978,6.9026969,Switzerland,N/A,Neuchâtel,N/A,2042,Neuchâtel,NE,Valangin
47.0106073,6.9016800,Switzerland,N/A,Neuchâtel,N/A,2042,Neuchâtel,NE,Valangin
47.5648043,8.1490678,Switzerland,Bezirk Laufenburg,Mettauertal,Grundbachhof,5276,Aargau,AG,Wil
47.3877993,8.0452411,Switzerland,Bezirk Aarau,Aarau,N/A,5000,Aargau,AG,N/A
47.3814723,8.0341943,Switzerland,Bezirk Aarau,Aarau,N/A,5000,Aargau,AG,N/A
47.1344888,8.8564362,Switzerland,March,Vorderthal,N/A,8857,Schwyz,SZ,Vorderthal
47.1323666,8.8452303,Switzerland,March,Vorderthal,N/A,8840,Schwyz,SZ,Vorderthal
47.1409032,8.8488810,Switzerland,March,Vorderthal,N/A,8857,Schwyz,SZ,Vorderthal
47.1510110,8.8763765,Switzerland,March,Vorderthal,N/A,8854,Schwyz,SZ,Vorderthal
47.1560838,8.8401306,Switzerland,March,Altendorf,N/A,8852,Schwyz,SZ,Altendorf
47.1625411,8.8857466,Switzerland,March,Galgenen,N/A,8854,Schwyz,SZ,Galgenen
47.1469422,8.8570831,Switzerland,March,Galgenen,N/A,8854,Schwyz,SZ,Galgenen
47.5676692,8.1187918,Switzerland,Bezirk Laufenburg,Mettauertal,N/A,5275,Aargau,AG,Etzgen
47.5783258,8.1265646,Switzerland,Bezirk Laufenburg,Mettauertal,N/A,5275,Aargau,AG,Etzgen
47.5855080,8.1443238,Switzerland,Bezirk Laufenburg,Schwaderloch,N/A,5326,Aargau,AG,Schwaderloch
47.1478151,8.8602254,Switzerland,March,Galgenen,N/A,8854,Schwyz,SZ,Galgenen
47.1472608,8.8696605,Switzerland,March,Galgenen,N/A,8854,Schwyz,SZ,Galgenen
47.1567036,8.8708384,Switzerland,March,Galgenen,N/A,8854,Schwyz,SZ,Galgenen
47.1596190,8.8830386,Switzerland,March,Galgenen,N/A,8854,Schwyz,SZ,Galgenen
47.1526980,8.8787112,Switzerland,March,Galgenen,N/A,8854,Schwyz,SZ,Galgenen
47.5411902,8.0778723,Switzerland,Bezirk Laufenburg,Laufenburg,N/A,5085,Aargau,AG,Sulz
47.3131439,8.6727824,Switzerland,Bezirk Uster,Egg,N/A,8132,Zurich,ZH,Hinteregg
47.3101095,8.6666487,Switzerland,Bezirk Uster,Egg,N/A,8132,Zurich,ZH,Hinteregg
47.3258106,8.6749852,Switzerland,Bezirk Uster,Maur,N/A,8124,Zurich,ZH,Aesch
47.3094611,8.6577052,Switzerland,Bezirk Uster,Maur,N/A,8127,Zurich,ZH,Maur
47.5385236,8.0322679,Switzerland,Bezirk Laufenburg,Kaisten,N/A,5072,Aargau,AG,Kaisten
47.5350409,8.0047732,Switzerland,Bezirk Laufenburg,Eiken,N/A,5074,Aargau,AG,Eiken
47.5481530,8.0728220,Switzerland,Bezirk Laufenburg,Laufenburg,N/A,5084,Aargau,AG,Rheinsulz
47.5448818,8.0685330,Switzerland,Bezirk Laufenburg,Kaisten,N/A,5082,Aargau,AG,Kaisten
47.7259346,8.5088653,Switzerland,N/A,Siblingen,N/A,8225,Schaffhausen,SH,Siblingen
47.1331019,8.8092645,Switzerland,Einsiedeln,Einsiedeln,N/A,8840,Schwyz,SZ,Willerzell
47.1378563,8.7930166,Switzerland,Einsiedeln,Einsiedeln,N/A,8840,Schwyz,SZ,Willerzell
47.1344863,8.7918559,Switzerland,Einsiedeln,Einsiedeln,N/A,8840,Schwyz,SZ,Willerzell
47.1484290,8.8218690,Switzerland,Einsiedeln,Einsiedeln,N/A,8840,Schwyz,SZ,Willerzell
47.1409702,8.8258727,Switzerland,Einsiedeln,Einsiedeln,N/A,8840,Schwyz,SZ,Willerzell
47.1412497,8.8048612,Switzerland,Einsiedeln,Einsiedeln,N/A,8840,Schwyz,SZ,Willerzell
47.1386508,8.8367364,Switzerland,March,Altendorf,N/A,8846,Schwyz,SZ,Altendorf
47.1247641,8.8266029,Switzerland,Einsiedeln,Einsiedeln,N/A,8840,Schwyz,SZ,Euthal
47.1319420,8.7979194,Switzerland,Einsiedeln,Einsiedeln,N/A,8846,Schwyz,SZ,Willerzell
47.1329792,8.7925450,Switzerland,Einsiedeln,Einsiedeln,N/A,8840,Schwyz,SZ,Willerzell
47.1260964,8.8001020,Switzerland,Einsiedeln,Einsiedeln,N/A,8840,Schwyz,SZ,Willerzell
47.7389114,8.5421512,Switzerland,N/A,Schaffhausen,N/A,8228,Schaffhausen,SH,N/A
47.7380746,8.5362913,Switzerland,N/A,Siblingen,N/A,8225,Schaffhausen,SH,Siblingen
47.7416976,8.5460507,Switzerland,N/A,Schaffhausen,N/A,8228,Schaffhausen,SH,N/A
47.7494674,8.5440268,Switzerland,N/A,Beggingen,N/A,8228,Schaffhausen,SH,Beggingen
47.7476590,8.5595127,Switzerland,N/A,Beggingen,N/A,8228,Schaffhausen,SH,Beggingen
47.7450302,8.5482105,Switzerland,N/A,Schaffhausen,N/A,8228,Schaffhausen,SH,N/A
